trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
0,0,0,0,2017_Feb_02_1118,59.7571987673,BasicTrial,001,tets,
1,0,1,0,2017_Feb_02_1118,59.7571987673,BasicTrial,001,tets,
2,0,2,0,2017_Feb_02_1118,59.7571987673,BasicTrial,001,tets,
3,0,3,0,2017_Feb_02_1118,59.7571987673,BasicTrial,001,tets,
4,0,4,0,2017_Feb_02_1118,59.7571987673,BasicTrial,001,tets,
