trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
0,0,0,0,2017_Feb_03_1404,60.9659362622,BasicTrial,001,y,
1,0,1,0,2017_Feb_03_1404,60.9659362622,BasicTrial,001,y,
