trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
0,0,0,0,2017_Feb_03_1359,60.2203324369,BasicTrial,001,T,
1,0,1,0,2017_Feb_03_1359,60.2203324369,BasicTrial,001,T,
