trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
0,0,0,0,2017_Feb_09_1127,60.8575739988,BasicTrial,001,t,
1,0,1,0,2017_Feb_09_1127,60.8575739988,BasicTrial,001,t,
